tmc,hour,vol.fraction
110+04178,8,0.057052
110+04178,9,0.05027
110+04178,10,0.046552
110+04178,11,0.046975
110+04178,12,0.053611
110+04178,13,0.056179
110+04178,14,0.070157
110+04178,15,0.061372
110+04178,16,0.058349
110+04178,17,0.059259
110+04178,18,0.062313
110+04178,19,0.065555
110+04178,20,0.049951
110+04178,21,0.040188
110+04178,22,0.029154
110+04178,23,0.023998
110+04179,0,0.01156
110+04179,1,0.006734
110+04179,2,0.004182
110+04179,3,0.004601
110+04179,4,0.008339
110+04179,5,0.024149
110+04179,6,0.042003
110+04179,7,0.054212
110+04179,8,0.053772
110+04179,9,0.047883
110+04179,10,0.045248
110+04179,11,0.048673
110+04179,12,0.052674
110+04179,13,0.053567
110+04179,14,0.059559
110+04179,15,0.065034
110+04179,16,0.066
110+04179,17,0.066157
110+04179,18,0.068348
110+04179,19,0.067581
110+04179,20,0.048507
110+04179,21,0.043198
110+04179,22,0.03544
110+04179,23,0.022578
110+04180,0,0.012734
110+04180,1,0.007496
110+04180,2,0.004407
110+04180,3,0.004637
110+04180,4,0.007296
110+04180,5,0.019445
110+04180,6,0.035756
110+04180,7,0.04426
110+04180,8,0.045023
110+04180,9,0.04263
110+04180,10,0.041964
110+04180,11,0.049408
110+04180,12,0.051749
110+04180,13,0.054505
110+04180,14,0.06635
110+04180,15,0.074372
110+04180,16,0.071261
110+04180,17,0.071032
110+04180,18,0.069884
110+04180,19,0.070113
110+04180,20,0.051082
110+04180,21,0.04529
110+04180,22,0.035163
110+04180,23,0.024141
110+04181,0,0.012734
110+04181,1,0.007496
110+04181,2,0.004407
110+04181,3,0.004637
110+04181,4,0.007296
110+04181,5,0.019445
110+04181,6,0.035756
110+04181,7,0.04426
110+04181,8,0.045023
110+04181,9,0.04263
110+04181,10,0.041964
110+04181,11,0.049408
110+04181,12,0.051749
110+04181,13,0.054505
110+04181,14,0.06635
110+04181,15,0.074372
110+04181,16,0.071261
110+04181,17,0.071032
110+04181,18,0.069884
110+04181,19,0.070113
110+04181,20,0.051082
110+04181,21,0.04529
110+04181,22,0.035163
110+04181,23,0.024141
110+04182,0,0.010763
110+04182,1,0.006697
110+04182,2,0.004664
110+04182,3,0.004265
110+04182,4,0.007777
110+04182,5,0.023641
110+04182,6,0.040414
110+04182,7,0.049199
110+04182,8,0.048745
110+04182,9,0.046463
110+04182,10,0.046413
110+04182,11,0.04823
110+04182,12,0.051459
110+04182,13,0.05548
110+04182,14,0.068403
110+04182,15,0.071278
110+04182,16,0.073876
110+04182,17,0.072835
110+04182,18,0.07032
110+04182,19,0.058245
110+04182,20,0.048955
110+04182,21,0.037855
110+04182,22,0.031745
110+04182,23,0.022273
110+04183,0,0.012214
110+04183,1,0.007389
110+04183,2,0.005292
110+04183,3,0.00427
110+04183,4,0.007451
110+04183,5,0.01913
110+04183,6,0.030803
110+04183,7,0.040653
110+04183,8,0.039378
110+04183,9,0.039179
110+04183,10,0.043079
110+04183,11,0.045711
110+04183,12,0.050592
110+04183,13,0.056178
110+04183,14,0.076035
110+04183,15,0.082731
110+04183,16,0.085069
110+04183,17,0.083129
